Learning Rate,Batch Size,# Hidden Neurons,RMSE,R2
0.008,128,80,66272.89251444691,0.6607163663555269
0.01,8,8,60934.81320747763,0.7131716814660788
0.01,8,16,59519.28025069089,0.7263431017344698
0.01,8,24,59785.780781476606,0.7238869906549086
0.01,8,32,67763.73703844957,0.6452799347950345
0.01,8,56,57476.123370129084,0.7448086230544406
0.01,16,8,60202.855596943795,0.7200211393738781
0.01,16,16,60143.1426402105,0.72057626501584
0.01,16,24,60555.734559190314,0.7167293286155066
0.01,16,32,58780.752698463075,0.7330921514359705
0.01,16,40,58917.3938946796,0.7318498060881993
0.01,16,48,58055.84192780447,0.7396348136870554
0.01,16,56,57419.83631956594,0.7453082022080917
0.01,16,64,58564.02272787019,0.7350567498488356
0.01,16,72,58277.58123447813,0.7376421305231169
0.01,16,80,57277.18507338897,0.7465721198280452
0.01,32,8,62097.00223082285,0.7021261845084101
0.01,32,16,61329.36003221012,0.7094452869961063
0.01,32,24,61425.62695414816,0.7085324204556864
0.01,32,32,61084.84911659647,0.7117574643420141
0.01,32,40,61324.07235006126,0.7094953868092329
0.01,32,48,61469.291767656854,0.7081178898557239
0.01,32,56,60573.46847092359,0.7165633911467622
0.01,32,64,60466.691889421505,0.717561772731165
0.01,32,72,60506.688790867534,0.7171880003356104
0.01,32,80,60865.95669906514,0.7138195488086883
0.01,64,8,63872.47923274385,0.6848490604597692
0.01,64,16,64403.21418070413,0.6795899400326202
0.01,64,24,64205.99000407593,0.6815493407430291
0.01,64,32,63092.37838879771,0.6925001861481874
0.01,64,40,63232.39697223847,0.6911338257289588
0.01,64,48,63740.13354579804,0.6861537117610854
0.01,64,56,62800.036617038335,0.6953432165124539
0.01,64,64,63043.03089238638,0.6929810179717922
0.01,64,72,63363.14650198489,0.6898551818270513
0.01,64,80,64072.371087954634,0.682873415194814
0.01,128,8,65784.82334735621,0.6656952985582197
0.01,128,16,65037.816459259135,0.6732444575724936
0.01,128,24,65358.434313600126,0.6700148937868775
0.01,128,32,66058.81018413897,0.6629048120925207
0.01,128,40,65838.79214559376,0.6651465572907193
0.01,128,48,65815.23036137041,0.6653861829749614
0.01,128,56,64660.2918242254,0.6770268797105414
0.01,128,64,65260.685438459535,0.6710011950282604
0.01,128,72,64952.083351855064,0.6741053506838528
0.01,128,80,65321.15675817857,0.670391204212019
0.012,8,8,62082.041763865636,0.702269695286782
0.012,8,16,58957.73016517436,0.731482516208312
0.012,8,24,59051.015158946,0.7306321283741235
0.012,16,8,60981.6779004913,0.7127303150443054
0.012,16,16,59564.8643271997,0.7259237695845144
0.012,16,24,59476.9272125231,0.7267324235576043
0.012,16,32,59260.170543687615,0.7287205772593269
0.012,16,40,58280.77403879007,0.7376133825804191
0.012,16,48,57039.999119014086,0.7486666737473451
0.012,16,56,58013.444372422986,0.7400149586049163
0.012,16,64,58510.68702364371,0.7355391108436239
0.012,16,72,58641.79826847872,0.7343525705098117
0.012,16,80,56943.68160300025,0.7495147580198147
0.012,32,8,62321.125487497826,0.699972105419486
0.012,32,16,61416.301231541875,0.7086209157497201
0.012,32,24,62151.704679189985,0.7016011477606148
0.012,32,32,60486.38385129647,0.7173777815694573
0.012,32,40,60531.66802740707,0.7169544431472697
0.012,32,48,59870.7413430526,0.723101673998741
0.012,32,56,60799.38378917385,0.714445233421668
0.012,32,64,60154.31251663666,0.7204724653710703
0.012,32,72,59913.812243213426,0.7227031304113067
0.012,32,80,59437.76735262938,0.7270921461484324
0.012,64,8,62953.6759552035,0.6938507166433019
0.012,64,16,62697.299855641664,0.6963391983948835
0.012,64,24,63771.39997087238,0.6858457344269526
0.012,64,32,62658.31367812316,0.6967167232081475
0.012,64,40,63023.531285456884,0.6931709144128432
0.012,64,48,61783.59625543767,0.7051253582557961
0.012,64,56,62305.91321911334,0.7001185580960753
0.012,64,64,62088.33866826538,0.7022092953936506
0.012,64,72,61605.61223928932,0.7068218401901838
0.012,64,80,62156.66092829178,0.7015535546006344
0.012,128,8,66767.60058208414,0.6556321514755566
0.012,128,16,65373.74905670343,0.6698602319053614
0.012,128,24,65704.67770356912,0.6665093691344126
0.012,128,32,65141.39616605374,0.6722028422104046
0.012,128,40,65122.54730299562,0.6723925129943493
0.012,128,48,65439.601447567766,0.6691947830609357
0.012,128,56,65551.56319589059,0.6680618539568703
0.012,128,64,64550.18357268767,0.6781259074377757
0.012,128,72,63721.82601480075,0.686333972616513
0.012,128,80,64958.66989803756,0.6740392518342752
0.014,8,8,62857.37806952943,0.6947866105317685
0.014,8,16,60301.51759389815,0.7191027142231836
0.014,8,24,60134.550592137915,0.720656096250708
0.014,8,40,58589.2469658789,0.7348284721277295
0.014,16,8,59844.90564194352,0.7233405993467064
0.014,16,16,59029.13204149575,0.7308317360030383
0.014,16,24,59164.03838118577,0.7296000052065241
0.014,16,32,58564.968416699856,0.7350481931997715
0.014,16,40,57959.13517391271,0.7405014999700807
0.014,16,48,57891.49896458723,0.7411067972657
0.014,16,56,58444.424671300796,0.7361377665356644
0.014,16,64,56657.22819805073,0.7520285356494086
0.014,16,72,58517.243544909434,0.7354798382326871
0.014,16,80,57053.554121495275,0.7485472056999078
0.014,32,8,61001.77216438167,0.7125409655836548
0.014,32,16,61166.99227239921,0.7109817213665226
0.014,32,24,60656.08491979197,0.7157897027431985
0.014,32,32,61175.96280657173,0.7108969423586642
0.014,32,40,60553.33304068471,0.7167517960589327
0.014,32,48,59687.039657818736,0.7247982840867879
0.014,32,56,59954.37040675173,0.7223275756592877
0.014,32,64,58968.28946979661,0.731386324858831
0.014,32,72,58220.616587088814,0.7381547742875112
0.014,32,80,59100.97748091344,0.7301761180000654
0.014,64,8,63318.4863531174,0.6902922255404684
0.014,64,16,62569.39519963105,0.6975768916725587
0.014,64,24,62175.74804372836,0.7013702321277121
0.014,64,32,61684.77068931476,0.7060679335960263
0.014,64,40,62116.852700093215,0.7019357121861209
0.014,64,48,60856.50430187047,0.7139084287472376
0.014,64,56,62280.46531095785,0.7003634721512924
0.014,64,64,66389.59263461297,0.6595204233298517
0.014,64,72,61873.211067997734,0.7042693284456032
0.014,64,80,61812.34680925445,0.7048508587991602
0.014,128,8,65391.731384441395,0.6696785841309858
0.014,128,16,64506.56377579959,0.6785607733969493
0.014,128,24,66035.55651473707,0.663142095215425
0.014,128,32,64133.66251887511,0.6822664003898271
0.014,128,40,64164.51715893337,0.6819606042227082
0.014,128,48,64674.9852873712,0.6768800776252848
0.014,128,56,64265.34576108737,0.6809602799108794
0.014,128,64,63869.99512165734,0.684873573512297
0.014,128,72,63350.55786536555,0.6899784052712314
0.014,128,80,63673.20818283706,0.6868124254673187
0.016,8,8,61674.387292043255,0.7061668804352379
0.016,8,16,60078.055716298826,0.7211807226375526
0.016,8,40,59916.40965547401,0.7226790868769587
0.016,16,8,60894.04982655886,0.7135553104813961
0.016,16,16,59269.327930028456,0.7286367299670142
0.016,16,24,59974.85666968159,0.7221377832513927
0.016,16,32,58144.97898979108,0.7388346873421189
0.016,16,40,56771.6531917913,0.7510259174002216
0.016,16,48,58219.88617609052,0.7381613442431119
0.016,16,56,58962.538964571766,0.7314387119651724
0.016,16,64,56889.33304404879,0.749992669352868
0.016,32,8,62982.04456186357,0.6935747363984679
0.016,32,16,61347.92045959168,0.7092693961771915
0.016,32,24,59515.12055925488,0.7263813511378063
0.016,32,32,59457.30341801377,0.726912717407981
0.016,32,40,59074.21646771618,0.7304204160130303
0.016,32,48,59572.16986780158,0.7258565353906676
0.016,32,56,58499.12822339087,0.7356435891468927
0.016,32,64,59255.8052439846,0.7287605424621277
0.016,32,72,58409.49585871541,0.7364530623231761
0.016,32,80,57733.69234116448,0.742516309177037
0.016,64,8,63552.28482118377,0.6880008604114801
0.016,64,16,62328.37664668145,0.699902283940159
0.016,64,24,62134.996233705904,0.7017615652683569
0.016,64,32,60620.31062970085,0.7161248520795861
0.016,64,40,62294.896374154574,0.7002245979596704
0.016,64,48,62319.778239821615,0.6999850771850475
0.016,64,56,63014.68791438319,0.6932570160017031
0.016,64,64,61639.65591761812,0.7064977261898869
0.016,64,72,61294.38359438385,0.7097766020780669
0.016,64,80,60760.31052128549,0.714812144135033
0.016,128,8,64740.08962291457,0.6762292202394272
0.016,128,16,64884.239280569054,0.6747858053035023
0.016,128,24,63528.73063633938,0.6882320880873571
0.016,128,32,65076.566567080416,0.6728549738782406
0.016,128,40,62439.189070680804,0.6988342594395486
0.016,128,48,63650.07734277318,0.6870399301296634
0.016,128,56,64287.09043843762,0.6807443442660228
0.016,128,64,63159.72160539673,0.6918434006945194
0.016,128,72,63870.22324542054,0.6848713224410534
